"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
675,"NGVT","Ingevity Corp","Basic Materials","Specialty Chemicals","USA",2280.21,,64.61,0.84%,557985
676,"NHI","National Health Investors, Inc","Real Estate","REIT - Healthcare Facilities","USA",4121.58,28.23,85.17,-0.40%,224137
677,"NIC","Nicolet Bankshares Inc","Financial","Banks - Regional","USA",3188.15,15.24,149.21,-0.28%,157050
678,"NICE","NICE Ltd ADR","Technology","Software - Application","Israel",7247.66,12.04,117.39,-0.82%,393966
679,"NIQ","NIQ Global Intelligence plc","Financial","Closed-End Fund - Debt","USA",3426.20,,11.61,-0.94%,872778
680,"NJR","New Jersey Resources Corporation","Utilities","Utilities - Regulated Gas","USA",5552.54,17.03,55.06,1.36%,346444
681,"NKTR","Nektar Therapeutics","Healthcare","Biotechnology","USA",2049.50,,73.25,4.11%,1364377
682,"NMIH","NMI Holdings Inc","Financial","Insurance - Specialty","USA",2836.78,7.58,37.31,0.48%,355241
683,"NMRK","Newmark Group Inc","Real Estate","Real Estate Services","USA",2617.16,20.75,14.19,2.38%,1532094
684,"NN","NextNav Inc","Technology","Software - Infrastructure","USA",2294.79,,17.02,0.47%,707567
685,"NNI","Nelnet Inc","Financial","Credit Services","USA",4658.00,11.23,129.84,-0.10%,175706
686,"NNN","NNN REIT Inc","Real Estate","REIT - Retail","USA",8549.17,21.74,45.01,0.13%,1061974
687,"NOG","Northern Oil and Gas Inc","Energy","Oil & Gas E&P","USA",2676.58,82.22,27.51,-0.36%,2576923
688,"NOV","NOV Inc","Energy","Oil & Gas Equipment & Services","USA",6642.26,48.92,18.43,-1.55%,4469233
689,"NOVT","Novanta Inc","Technology","Scientific & Technical Instruments","USA",4166.44,80.03,116.76,-2.33%,429892
690,"NP","Neptune Insurance Holdings Inc","Financial","Insurance Brokers","USA",3021.42,96.26,21.87,20.23%,928612
691,"NPO","Enpro Inc","Industrials","Specialty Industrial Machinery","USA",5114.61,126.94,240.99,-1.42%,296427
692,"NSA","National Storage Affiliates Trust","Real Estate","REIT - Industrial","USA",4152.24,44.55,30.94,-0.06%,1851674
693,"NSIT","Insight Enterprises Inc","Technology","Electronics & Computer Distribution","USA",2506.38,16.28,80.86,-1.03%,372060
694,"NTB","Bank of N T Butterfield & Son Ltd","Financial","Banks - Diversified","Bermuda",2018.99,9.23,50.54,-0.41%,176131
695,"NTCT","Netscout Systems Inc","Technology","Software - Infrastructure","USA",2165.17,23.00,29.98,-0.27%,332678
696,"NTSK","Netskope Inc","Technology","Software - Infrastructure","USA",3206.30,,9.74,1.99%,10909384
697,"NTST","Netstreit Corp","Real Estate","REIT - Retail","USA",2230.89,243.80,20.26,0.35%,1209550
698,"NUVL","Nuvalent Inc","Healthcare","Biotechnology","USA",7698.96,,97.93,-0.07%,752440
699,"NVG","Nuveen AMT-Free Municipal Credit Income Fund","Financial","Closed-End Fund - Debt","USA",2714.57,47.07,12.71,-0.63%,437550
700,"NVST","Envista Holdings Corp","Healthcare","Medical Instruments & Supplies","USA",4032.97,89.52,24.61,-3.26%,3279990
701,"NVTS","Navitas Semiconductor Corp","Technology","Semiconductors","USA",2331.01,,10.10,1.20%,21758358
702,"NWE","NorthWestern Energy Group Inc","Utilities","Utilities - Regulated Electric","USA",4203.97,23.25,68.42,1.74%,545867
703,"NWN","Northwest Natural Holding Co","Utilities","Utilities - Regulated Gas","USA",2184.60,18.89,52.56,1.19%,287658
704,"NXE","NexGen Energy Ltd","Energy","Uranium","Canada",7998.95,,12.10,-2.89%,9557079
705,"NXST","Nexstar Media Group Inc","Communication Services","Broadcasting","USA",7084.92,79.86,233.61,-2.31%,278699
706,"NZF","Nuveen Municipal Credit Income Fund","Financial","Closed-End Fund - Debt","USA",2423.55,41.70,12.51,-0.71%,328788
707,"OBDC","Blue Owl Capital Corp","Financial","Asset Management","USA",5468.96,8.80,10.95,-0.36%,5884243
708,"OC","Owens Corning","Industrials","Building Products & Equipment","USA",8557.59,,106.46,3.31%,1705382
709,"OGE","Oge Energy Corp","Utilities","Utilities - Regulated Electric","USA",9972.62,20.81,48.35,1.02%,1284742
710,"OGS","ONE Gas Inc","Utilities","Utilities - Regulated Gas","USA",5484.97,20.03,87.49,0.69%,425055
711,"OII","Oceaneering International, Inc","Energy","Oil & Gas Equipment & Services","USA",3307.82,9.51,33.28,-6.09%,1554143
712,"OKLO","Oklo Inc","Utilities","Utilities - Independent Power Producers","USA",9120.14,,58.37,-2.05%,5841005
713,"OLED","Universal Display Corp","Technology","Electronic Components","USA",4430.54,18.54,94.07,-0.68%,671718
714,"OLLI","Ollies Bargain Outlet Holdings Inc","Consumer Defensive","Discount Stores","USA",6700.58,28.02,109.25,4.18%,2066110
715,"OLN","Olin Corp","Basic Materials","Chemicals","USA",2810.24,,24.73,-4.92%,2856956
716,"OMF","OneMain Holdings Inc","Financial","Credit Services","USA",6098.94,7.93,52.06,-1.20%,1176502
717,"ONB","Old National Bancorp","Financial","Banks - Regional","USA",8381.87,12.11,21.51,-0.46%,3105336
718,"ONDS","Ondas Inc","Technology","Communication Equipment","USA",4573.95,,10.16,-1.65%,73311730
719,"ONTO","Onto Innovation Inc","Technology","Semiconductor Equipment & Materials","USA",9420.09,68.26,189.53,2.68%,664172
720,"OPCH","Option Care Health Inc","Healthcare","Medical Care Facilities","USA",4582.36,23.03,29.29,-0.34%,1319550
721,"OPEN","Opendoor Technologies Inc","Real Estate","Real Estate Services","USA",4743.71,,4.95,2.27%,43498892
722,"OPLN","Openlane Inc","Consumer Cyclical","Auto & Truck Dealerships","USA",2942.31,,27.68,0.36%,1177152
723,"OR","OR Royalties Inc","Basic Materials","Gold","Canada",7562.28,37.03,40.33,-4.09%,1732693
724,"ORA","Ormat Technologies Inc","Utilities","Utilities - Renewable","USA",6716.12,54.64,110.38,0.29%,349709
725,"ORI","Old Republic International Corp","Financial","Insurance - Property & Casualty","USA",9853.79,10.75,40.10,0.25%,1532575
726,"ORLA","Orla Mining Ltd","Basic Materials","Gold","Canada",5547.17,127.30,16.32,-4.73%,2171427
727,"OS","OneStream Inc","Technology","Software - Infrastructure","USA",5932.66,,23.57,-0.13%,2263683
728,"OSCR","Oscar Health Inc","Healthcare","Healthcare Plans","USA",3939.21,,13.23,1.77%,4873457
729,"OSIS","OSI Systems, Inc","Technology","Electronic Components","USA",4462.74,30.72,270.92,-1.66%,172526
730,"OSK","Oshkosh Corp","Industrials","Farm & Heavy Construction Machinery","USA",9204.66,14.69,147.16,-1.80%,492408
731,"OSW","OneSpaWorld Holdings Limited","Consumer Cyclical","Leisure","Bahamas",2068.59,29.53,20.39,-0.63%,690100
732,"OTEX","Open Text Corp","Technology","Software - Application","Canada",5758.79,13.49,22.98,-1.58%,2232896
733,"OTF","Blue Owl Technology Finance Corp","Financial","Asset Management","USA",5458.32,6.87,11.73,3.08%,3078014
734,"OTTR","Otter Tail Corporation","Industrials","Conglomerates","USA",3678.90,13.39,87.69,2.79%,245711
735,"OUT","Outfront Media Inc","Real Estate","REIT - Specialty","USA",4702.30,33.75,26.71,-0.78%,1489771
736,"OZK","Bank OZK","Financial","Banks - Regional","USA",4922.94,7.03,43.40,-1.00%,933697
737,"PACS","PACS Group Inc","Healthcare","Medical Care Facilities","USA",5475.63,29.57,34.84,3.41%,525543
738,"PAG","Penske Automotive Group Inc","Consumer Cyclical","Auto & Truck Dealerships","USA",9596.37,10.82,145.93,-0.86%,230038
739,"PAGS","PagSeguro Digital Ltd","Technology","Software - Infrastructure","Brazil",2726.50,7.35,9.37,-0.32%,4023327
740,"PAHC","Phibro Animal Health Corp","Healthcare","Drug Manufacturers - Specialty & Generic","USA",2007.73,21.93,49.47,0.96%,226509
741,"PAM","Pampa Energia SA ADR","Industrials","Conglomerates","Argentina",4406.41,11.07,81.03,-1.56%,170304
742,"PARR","Par Pacific Holdings Inc","Energy","Oil & Gas Refining & Marketing","USA",2637.36,7.38,53.82,1.28%,1242149
743,"PATH","UiPath Inc","Technology","Software - Infrastructure","USA",6192.40,22.17,11.58,1.85%,49122540
744,"PATK","Patrick Industries, Inc","Consumer Cyclical","Recreational Vehicles","USA",3799.06,29.29,114.31,1.03%,286262
745,"PAY","Paymentus Holdings Inc","Technology","Software - Infrastructure","USA",3066.20,47.05,24.39,1.12%,666629
746,"PAYC","Paycom Software Inc","Technology","Software - Application","USA",6822.92,15.54,125.71,-0.72%,1085531
747,"PB","Prosperity Bancshares Inc","Financial","Banks - Regional","USA",6529.66,11.24,64.28,-1.65%,1453104
748,"PBF","PBF Energy Inc","Energy","Oil & Gas Refining & Marketing","USA",5086.32,,43.50,1.35%,3346546
749,"PBH","Prestige Consumer Healthcare Inc","Healthcare","Drug Manufacturers - Specialty & Generic","USA",2907.74,16.25,61.45,-0.73%,360786
750,"PCOR","Procore Technologies Inc","Technology","Software - Application","USA",8578.24,,57.15,0.21%,1942183
751,"PCTY","Paylocity Holding Corp","Technology","Software - Application","USA",5893.57,25.73,109.39,-1.02%,707164
752,"PCVX","Vaxcyte Inc","Healthcare","Biotechnology","USA",7855.17,,54.58,-2.90%,1394796
753,"PDI","PIMCO Dynamic Income Fund","Financial","Closed-End Fund - Debt","USA",7638.15,7.43,17.47,-0.68%,3142844
754,"PECO","Phillips Edison & Company Inc","Real Estate","REIT - Retail","USA",5286.54,46.52,38.17,-0.29%,557992
755,"PEGA","Pegasystems Inc","Technology","Software - Application","USA",7175.91,19.96,42.45,-0.12%,5331354
756,"PFS","Provident Financial Services Inc","Financial","Banks - Regional","USA",2660.98,9.13,20.36,-0.20%,639534
757,"PFSI","PennyMac Financial Services Inc","Financial","Mortgage Finance","USA",4389.40,9.04,84.14,-0.56%,542242
758,"PHIN","PHINIA Inc","Consumer Cyclical","Auto Parts","USA",2389.79,19.39,63.03,-1.68%,402916
759,"PI","Impinj Inc","Technology","Semiconductors","USA",2773.30,,91.74,0.43%,602051
760,"PII","Polaris Inc","Consumer Cyclical","Recreational Vehicles","USA",2858.91,,50.43,-1.75%,951188
761,"PIPR","Piper Sandler Co's","Financial","Capital Markets","USA",5031.27,17.87,282.52,0.95%,138373
762,"PJT","PJT Partners Inc","Financial","Capital Markets","USA",3123.35,31.14,129.22,0.13%,328914
763,"PK","Park Hotels & Resorts Inc","Real Estate","REIT - Hotel & Motel","USA",2052.25,,10.19,-1.74%,2782285
764,"PL","Planet Labs PBC","Industrials","Aerospace & Defense","USA",8397.71,,24.79,-0.72%,7464749
765,"PLMR","Palomar Holdings Inc","Financial","Insurance - Property & Casualty","USA",3207.84,16.74,120.19,0.33%,153403
766,"PLNT","Planet Fitness Inc","Consumer Cyclical","Leisure","USA",5890.63,28.12,73.62,-1.52%,2336176
767,"PLUG","Plug Power Inc","Industrials","Electrical Equipment & Parts","USA",2997.00,,2.15,-2.71%,62734103
768,"PLXS","Plexus Corp","Technology","Electronic Components","USA",5109.25,29.66,190.74,0.52%,236178
769,"PONY","Pony AI Inc. ADR","Technology","Information Technology Services","China",4032.03,,11.44,-6.92%,8786365
770,"POOL","Pool Corporation","Industrials","Industrial Distribution","USA",7601.83,19.08,206.64,1.23%,623006
771,"POR","Portland General Electric Co","Utilities","Utilities - Regulated Electric","USA",6775.61,19.39,53.60,1.61%,1024983
772,"POST","Post Holdings Inc","Consumer Defensive","Packaged Foods","USA",4721.34,18.18,98.45,0.72%,773095
773,"POWI","Power Integrations Inc","Technology","Semiconductors","USA",2633.66,120.89,47.45,2.37%,817213
774,"POWL","Powell Industries, Inc","Industrials","Electrical Equipment & Parts","USA",6104.05,32.66,502.71,-2.11%,180603
775,"PPC","Pilgrim's Pride Corp","Consumer Defensive","Packaged Foods","USA",8605.16,7.98,36.22,0.10%,875239
776,"PPTA","Perpetua Resources Corp","Basic Materials","Other Precious Metals & Mining","USA",3626.93,,29.76,-4.95%,1635882
777,"PRAX","Praxis Precision Medicines Inc","Healthcare","Biotechnology","USA",8186.75,,293.95,-3.11%,500870
778,"PRDO","Perdoceo Education Corporation","Consumer Defensive","Education & Training Services","USA",2235.48,14.80,35.78,2.35%,760572
779,"PRI","Primerica Inc","Financial","Insurance - Life","USA",7886.80,10.86,249.11,0.02%,152556
780,"PRIM","Primoris Services Corp","Industrials","Engineering & Construction","USA",7216.54,26.60,133.50,0.94%,1066715
781,"PRM","Perimeter Solutions Inc","Basic Materials","Specialty Chemicals","USA",3401.26,,22.76,-1.26%,744652
782,"PRMB","Primo Brands Corp","Consumer Defensive","Beverages - Non-Alcoholic","USA",7542.71,131.39,20.76,-0.43%,2978088
783,"PRVA","Privia Health Group Inc","Healthcare","Health Information Services","USA",2681.56,122.21,21.68,-0.23%,641529
784,"PSMT","Pricesmart Inc","Consumer Defensive","Discount Stores","USA",4584.41,30.38,148.77,1.34%,159669
785,"PSN","Parsons Corp","Technology","Information Technology Services","USA",5815.41,25.00,54.95,-3.27%,1463144
786,"PSO","Pearson plc ADR","Communication Services","Publishing","United Kingdom",8158.03,19.74,13.07,0.08%,1004737
787,"PTCT","PTC Therapeutics Inc","Healthcare","Biotechnology","USA",5338.14,8.34,64.49,1.78%,605687
788,"PTEN","Patterson-UTI Energy Inc","Energy","Oil & Gas Drilling","USA",3905.83,,10.29,4.47%,16893085
789,"PTGX","Protagonist Therapeutics Inc","Healthcare","Biotechnology","USA",5893.37,,92.36,-3.21%,896180
790,"PTRN","Pattern Group Inc","Technology","Software - Application","USA",2000.15,,11.35,-4.94%,735170
791,"PTY","PIMCO Corporate & Income Opportunity Fund","Financial","Closed-End Fund - Debt","USA",2550.14,8.41,12.03,-1.39%,1367447
792,"PVH","PVH Corp","Consumer Cyclical","Apparel Manufacturing","USA",2788.01,9.13,60.87,-0.57%,801147
793,"QBTS","D-Wave Quantum Inc","Technology","Computer Hardware","USA",6491.98,,17.55,-1.57%,20995869
794,"QGEN","Qiagen NV","Healthcare","Diagnostics & Research","Netherlands",8396.08,19.86,40.60,-1.26%,1983838
795,"QLYS","Qualys Inc","Technology","Software - Infrastructure","USA",3557.25,18.31,99.71,2.80%,599863
796,"QRVO","Qorvo Inc","Technology","Semiconductors","USA",7242.17,21.49,78.12,-0.83%,870695
797,"QS","QuantumScape Corp","Consumer Cyclical","Auto Parts","USA",4122.68,,6.73,-2.46%,8730009
798,"QTWO","Q2 Holdings Inc","Technology","Software - Application","USA",3014.13,61.86,48.30,-0.92%,755676
799,"R","Ryder System, Inc","Industrials","Rental & Leasing Services","USA",7409.16,15.87,187.92,0.49%,302460
800,"RAL","Ralliant Corp","Technology","Electronic Components","USA",4730.72,,42.33,-1.44%,1643471
801,"RARE","Ultragenyx Pharmaceutical Inc","Healthcare","Biotechnology","USA",2062.08,,21.34,-1.70%,2543334
802,"RCUS","Arcus Biosciences Inc","Healthcare","Biotechnology","USA",2753.93,,21.98,-3.17%,1173180
803,"RDN","Radian Group, Inc","Financial","Insurance - Specialty","USA",4495.63,7.95,32.99,-0.39%,1306040
804,"RDNT","Radnet Inc","Healthcare","Diagnostics & Research","USA",4818.94,,62.09,3.86%,1154421
805,"RELY","Remitly Global Inc","Technology","Software - Infrastructure","USA",3212.48,48.61,15.25,-1.80%,3692484
806,"REXR","Rexford Industrial Realty Inc","Real Estate","REIT - Industrial","USA",7991.66,40.28,34.47,-1.12%,3787450
807,"REYN","Reynolds Consumer Products Inc","Consumer Cyclical","Packaging & Containers","USA",4516.08,15.01,21.47,0.05%,859058
808,"REZI","Resideo Technologies Inc","Industrials","Industrial Distribution","USA",5075.85,,33.56,0.03%,957578
809,"RGEN","Repligen Corp","Healthcare","Medical Instruments & Supplies","USA",6433.01,132.11,114.20,0.39%,1115201
810,"RGTI","Rigetti Computing Inc","Technology","Computer Hardware","USA",5370.87,,16.17,0.62%,26888625
811,"RH","RH","Consumer Cyclical","Specialty Retail","USA",2410.49,23.14,128.37,-2.27%,1103452
812,"RHI","Robert Half Inc","Industrials","Staffing & Employment Services","USA",2262.58,16.86,22.37,-1.71%,2682757
813,"RHP","Ryman Hospitality Properties Inc","Real Estate","REIT - Hotel & Motel","USA",5662.35,24.16,89.87,-2.32%,435689
814,"RIG","Transocean Ltd","Energy","Oil & Gas Drilling","Switzerland",7014.12,,6.36,1.19%,36541066
815,"RIOT","Riot Platforms Inc","Financial","Capital Markets","USA",5322.93,,14.04,-3.17%,19874712
816,"RITM","Rithm Capital Corporation","Real Estate","REIT - Mortgage","USA",5253.18,9.06,9.45,-1.56%,8772953
817,"RLI","RLI Corp","Financial","Insurance - Property & Casualty","USA",5683.42,14.16,61.83,-0.26%,859855
818,"RLX","RLX Technology Inc ADR","Consumer Defensive","Tobacco","China",2046.89,22.48,2.25,-0.88%,1692727
819,"RNG","RingCentral Inc","Technology","Software - Application","USA",3176.28,78.40,37.78,-0.74%,2010181
820,"RNST","Renasant Corp","Financial","Banks - Regional","USA",3357.11,16.85,35.66,-1.14%,667566
821,"ROAD","Construction Partners Inc","Industrials","Engineering & Construction","USA",6441.06,52.10,113.97,-2.10%,333307
822,"RRR","Red Rock Resorts Inc","Consumer Cyclical","Resorts & Casinos","USA",6074.75,18.52,57.84,0.23%,485098
823,"RSI","Rush Street Interactive Inc","Consumer Cyclical","Gambling","USA",4705.11,71.61,20.25,-2.78%,1870653
824,"RUM","Rumble Inc","Communication Services","Internet Content & Information","USA",2319.78,,5.33,-2.20%,1339201
825,"RUN","Sunrun Inc","Technology","Solar","USA",2846.74,7.07,12.14,1.42%,8567274
826,"RUSHA","Rush Enterprises Inc","Consumer Cyclical","Auto & Truck Dealerships","USA",4716.95,18.88,61.74,0.24%,453426
827,"RVT","Royce Small Cap Trust Inc","Financial","Closed-End Fund - Equity","USA",2012.88,12.19,16.45,-1.73%,214492
828,"RVTY","Revvity Inc","Healthcare","Diagnostics & Research","USA",9566.67,40.96,85.62,1.02%,1408005
829,"RYAN","Ryan Specialty Holdings Inc","Financial","Insurance - Specialty","USA",9558.38,93.49,36.18,0.03%,1173077
830,"RYN","Rayonier Inc","Real Estate","REIT - Specialty","USA",6134.33,45.81,20.18,0.60%,3883546
831,"RYTM","Rhythm Pharmaceuticals Inc","Healthcare","Biotechnology","USA",5966.75,,87.38,-4.14%,1620714
832,"S","SentinelOne Inc","Technology","Software - Infrastructure","USA",4934.90,,14.52,5.37%,18194222
833,"SA","Seabridge Gold, Inc","Basic Materials","Gold","Canada",3271.37,,31.35,-3.89%,1606442
834,"SAH","Sonic Automotive, Inc","Consumer Cyclical","Auto & Truck Dealerships","USA",2010.86,17.62,59.89,-1.32%,371754
835,"SAIA","Saia Inc","Industrials","Trucking","USA",8560.92,33.72,321.00,1.66%,556917
836,"SAIC","Science Applications International Corp","Technology","Information Technology Services","USA",4147.66,11.73,91.91,0.40%,784618
837,"SAIL","Sailpoint Inc","Technology","Software - Infrastructure","USA",8677.12,,15.45,-0.19%,1623308
838,"SAM","Boston Beer Co., Inc","Consumer Defensive","Beverages - Brewers","USA",2418.34,23.76,231.50,1.00%,191946
839,"SANM","Sanmina Corp","Technology","Electronic Components","USA",6836.53,29.95,125.20,-0.91%,892667
840,"SARO","StandardAero Inc","Industrials","Aerospace & Defense","USA",8668.98,31.41,26.06,-1.99%,4929848
841,"SBCF","Seacoast Banking Corp. Of Florida","Financial","Banks - Regional","USA",2920.15,18.64,29.81,-1.16%,695326
842,"SBLK","Star Bulk Carriers Corp","Industrials","Marine Shipping","Greece",2486.43,29.66,21.84,-1.40%,1238371
843,"SBRA","Sabra Healthcare REIT Inc","Real Estate","REIT - Healthcare Facilities","USA",5199.24,32.22,20.62,-0.77%,2953973
844,"SBSW","Sibanye Stillwater Limited ADR","Basic Materials","Other Precious Metals & Mining","South Africa",8895.03,,12.57,-7.78%,7808033
845,"SDRL","Seadrill Ltd","Energy","Oil & Gas Drilling","Bermuda",2668.86,,42.90,1.90%,780106
846,"SEDG","Solaredge Technologies Inc","Technology","Solar","Israel",2260.11,,37.44,6.39%,1987208
847,"SEE","Sealed Air Corp","Consumer Cyclical","Packaging & Containers","USA",6166.11,13.98,41.84,-0.31%,2641662
848,"SEI","Solaris Energy Infrastructure Inc","Energy","Oil & Gas Equipment & Services","USA",3562.08,76.40,52.00,-2.49%,1631444
849,"SEIC","SEI Investments Co","Financial","Asset Management","USA",9766.40,14.19,79.89,0.93%,1091908
850,"SEM","Select Medical Holdings Corporation","Healthcare","Medical Care Facilities","USA",2015.30,14.03,16.25,0.06%,2687368
851,"SEZL","Sezzle Inc","Financial","Credit Services","USA",2241.39,17.76,66.31,1.56%,514774
852,"SFBS","ServisFirst Bancshares Inc","Financial","Banks - Regional","USA",3995.86,14.46,73.13,1.78%,443248
853,"SFD","Smithfield Foods, Inc","Consumer Defensive","Packaged Foods","USA",9206.70,10.63,23.42,0.21%,664932
854,"SFM","Sprouts Farmers Market Inc","Consumer Defensive","Grocery Stores","USA",7760.94,15.49,82.06,4.08%,2506352
855,"SFNC","Simmons First National Corp","Financial","Banks - Regional","USA",2695.99,,18.61,-1.53%,1093677
856,"SGHC","Super Group (SGHC) Limited","Consumer Cyclical","Gambling","United Kingdom",5380.36,24.71,10.73,-1.38%,2039135
857,"SHAK","Shake Shack Inc","Consumer Cyclical","Restaurants","USA",3710.83,79.54,86.92,0.13%,1623677
858,"SHC","Sotera Health Co","Healthcare","Diagnostics & Research","USA",3815.12,49.48,13.41,0.71%,3798160
859,"SHOO","Steven Madden Ltd","Consumer Cyclical","Footwear & Accessories","USA",2287.24,50.35,31.37,-3.80%,1293599
860,"SIG","Signet Jewelers Ltd","Consumer Cyclical","Luxury Goods","Bermuda",3344.67,24.57,82.21,-1.43%,1057933
861,"SIGI","Selective Insurance Group Inc","Financial","Insurance - Property & Casualty","USA",4590.86,10.20,76.41,-0.21%,622950
862,"SII","Sprott Inc","Financial","Asset Management","Canada",3808.41,56.61,147.67,-5.77%,348491
863,"SIMO","Silicon Motion Technology Corp ADR","Technology","Semiconductors","Hong Kong",4188.37,33.98,123.26,2.62%,312283
864,"SIRI","Sirius XM Holdings Inc","Communication Services","Entertainment","USA",7361.66,9.76,21.99,-1.08%,3140246
865,"SITE","SiteOne Landscape Supply Inc","Industrials","Industrial Distribution","USA",5771.26,38.56,129.81,-0.42%,520993
866,"SITM","SiTime Corp","Technology","Semiconductors","USA",8577.19,,326.13,1.01%,261543
867,"SKE","Skeena Resources Ltd","Basic Materials","Other Industrial Metals & Mining","Canada",3771.95,,31.15,-4.97%,930625
868,"SKT","Tanger Inc","Real Estate","REIT - Retail","USA",4024.78,35.42,35.14,-0.79%,732634
869,"SKWD","Skyward Specialty Insurance Group Inc","Financial","Insurance - Property & Casualty","USA",2008.58,11.11,45.17,-0.13%,570971
870,"SKY","Champion Homes Inc","Consumer Cyclical","Residential Construction","USA",4285.35,20.68,77.49,-0.23%,492354
871,"SKYW","Skywest Inc","Industrials","Airlines","USA",3617.21,8.65,89.52,0.01%,435329
872,"SLAB","Silicon Laboratories Inc","Technology","Semiconductors","USA",6690.05,,203.00,0.46%,391911
873,"SLDE","Slide Insurance Holdings Inc","Financial","Insurance - Property & Casualty","USA",2194.24,1.53,17.65,2.20%,1983297
874,"SLG","SL Green Realty Corp","Real Estate","REIT - Office","USA",2824.58,,37.21,-1.77%,1083973
875,"SLGN","Silgan Holdings Inc","Consumer Cyclical","Packaging & Containers","USA",4388.49,15.44,41.62,1.51%,938671
876,"SLM","SLM Corp","Financial","Credit Services","USA",3911.57,5.71,19.74,-3.14%,4673861
877,"SM","SM Energy Co","Energy","Oil & Gas E&P","USA",6385.64,4.75,26.79,5.14%,5933151
878,"SMG","Scotts Miracle-Gro Company","Basic Materials","Agricultural Inputs","USA",3538.10,41.22,60.96,2.20%,1098507
879,"SMR","NuScale Power Corporation","Industrials","Specialty Industrial Machinery","USA",3988.59,,11.80,0.34%,15198769
880,"SMTC","Semtech Corp","Technology","Semiconductors","USA",7852.02,278.93,84.85,1.73%,1623934
881,"SNAP","Snap Inc","Communication Services","Internet Content & Information","USA",7701.62,,4.57,-1.83%,45615716
882,"SNDR","Schneider National Inc","Industrials","Trucking","USA",4157.23,40.21,23.69,-0.25%,1115522
883,"SNDX","Syndax Pharmaceuticals Inc","Healthcare","Biotechnology","USA",2072.71,,23.50,-2.04%,1677706
884,"SNEX","StoneX Group Inc","Financial","Capital Markets","USA",5433.63,15.44,103.57,-1.47%,323644
885,"SOBO","South Bow Corp","Energy","Oil & Gas Midstream","Canada",6974.29,17.16,33.49,1.30%,1364132
886,"SOC","Sable Offshore Corp","Energy","Oil & Gas Drilling","USA",2478.12,,16.83,-3.55%,8959195
887,"SON","Sonoco Products Co","Consumer Cyclical","Packaging & Containers","USA",5259.70,13.43,53.32,1.10%,858955
888,"SOUN","SoundHound AI Inc","Technology","Software - Application","USA",3086.54,,7.30,-2.28%,29567989
889,"SPHR","Sphere Entertainment Co","Communication Services","Entertainment","USA",3752.57,,105.70,-3.81%,1105660
890,"SPNT","SiriusPoint Ltd","Financial","Insurance - Reinsurance","Bermuda",2381.92,5.53,20.36,0.79%,569839
891,"SPSC","SPS Commerce Inc","Technology","Software - Application","USA",2264.02,24.65,60.55,-0.26%,571921
892,"SPXC","SPX Technologies Inc","Industrials","Building Products & Equipment","USA",9947.95,39.58,199.45,-1.58%,238565
893,"SR","Spire Inc","Utilities","Utilities - Regulated Gas","USA",5481.80,20.14,92.76,1.69%,332835
894,"SRAD","Sportradar Group AG","Technology","Software - Application","Switzerland",5802.36,52.98,18.66,-2.41%,2864627
895,"SRRK","Scholar Rock Holding Corp","Healthcare","Biotechnology","USA",4596.47,,40.01,-4.28%,1084921
896,"SSB","SouthState Bank Corp","Financial","Banks - Regional","USA",8868.35,11.48,90.43,-0.02%,844533
897,"SSD","Simpson Manufacturing Co., Inc","Basic Materials","Lumber & Wood Production","USA",7367.91,21.55,177.96,-0.22%,313166
898,"SSL","Sasol Ltd ADR","Basic Materials","Specialty Chemicals","South Africa",7172.01,55.77,11.31,6.70%,5293046
899,"SSRM","SSR Mining Inc","Basic Materials","Gold","USA",5729.84,15.42,28.18,-4.38%,3330122
900,"ST","Sensata Technologies Holding Plc","Technology","Scientific & Technical Instruments","USA",4996.55,171.95,34.27,-0.03%,1772367
901,"STAG","STAG Industrial Inc","Real Estate","REIT - Industrial","USA",7265.11,26.05,38.03,-0.03%,1054946
902,"STEP","StepStone Group Inc","Financial","Asset Management","USA",5373.00,,45.09,4.06%,910366
903,"STNE","StoneCo Ltd","Technology","Software - Infrastructure","Cayman Islands",3740.55,9.06,13.81,-0.22%,5267496
904,"STNG","Scorpio Tankers Inc","Energy","Oil & Gas Midstream","Monaco",3436.53,9.39,66.39,-1.53%,1675652
905,"STUB","Stubhub Holdings Inc","Communication Services","Internet Content & Information","USA",2682.57,,7.52,-4.69%,3378091
906,"STVN","Stevanato Group Spa","Healthcare","Medical Instruments & Supplies","Italy",4092.33,25.72,14.99,2.39%,494638
907,"STWD","Starwood Property Trust Inc","Real Estate","REIT - Mortgage","USA",6514.83,15.20,17.58,-0.40%,3402440
908,"SUNC","SunocoCorp LLC","Energy","Oil & Gas Midstream","USA",3102.88,,60.23,2.00%,561897
909,"SUPN","Supernus Pharmaceuticals Inc","Healthcare","Drug Manufacturers - Specialty & Generic","USA",2873.90,,49.91,-1.09%,802078
910,"SVM","Silvercorp Metals Inc","Basic Materials","Silver","Canada",2379.35,,10.80,-6.41%,5955580
911,"SWKS","Skyworks Solutions, Inc","Technology","Semiconductors","USA",8231.45,21.04,54.74,-0.83%,2709841
912,"SWX","Southwest Gas Holdings Inc","Utilities","Utilities - Regulated Gas","USA",6360.41,14.48,88.01,0.79%,409809
913,"SXI","Standex International Corp","Industrials","Specialty Industrial Machinery","USA",3077.67,56.84,253.96,-1.37%,175131
