"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
299,"DNN","Denison Mines Corp","Energy","Uranium","Canada",3449.31,,3.82,-4.74%,59416076
300,"DNOW","Dnow Inc","Industrials","Industrial Distribution","USA",2122.48,,11.39,0.89%,3180803
301,"DNP","DNP Select Income Fund Inc","Financial","Closed-End Fund - Equity","USA",3888.79,8.90,10.32,0.58%,437070
302,"DNTH","Dianthus Therapeutics Inc","Healthcare","Biotechnology","USA",3462.52,,77.86,-3.06%,2300961
303,"DOCN","DigitalOcean Holdings Inc","Technology","Software - Infrastructure","USA",6313.69,27.31,68.63,3.64%,3010495
304,"DOCS","Doximity Inc","Healthcare","Health Information Services","USA",4501.37,20.46,24.37,0.37%,2226750
305,"DOCU","DocuSign Inc","Technology","Software - Application","USA",9422.83,32.93,47.05,1.23%,3414221
306,"DOO","BRP Inc","Consumer Cyclical","Recreational Vehicles","Canada",4676.06,271.16,63.75,-0.39%,134536
307,"DORM","Dorman Products Inc","Consumer Cyclical","Auto Parts","USA",3103.14,15.49,102.81,0.56%,284498
308,"DOX","Amdocs Ltd","Technology","Software - Infrastructure","USA",7161.37,12.89,66.34,-0.87%,611682
309,"DRD","DRDGold Ltd. ADR","Basic Materials","Gold","South Africa",2610.31,14.55,30.17,-7.14%,354144
310,"DSGX","Descartes Systems Group Inc","Technology","Software - Application","Canada",6230.84,38.75,72.46,0.67%,613209
311,"DUOL","Duolingo Inc","Technology","Software - Application","USA",4619.44,11.68,98.39,3.66%,2395774
312,"DX","Dynex Capital, Inc","Real Estate","REIT - Mortgage","USA",2637.90,6.40,13.06,-2.03%,5779281
313,"DXC","DXC Technology Co","Technology","Information Technology Services","USA",2008.26,5.09,11.83,-0.92%,2227187
314,"DXPE","DXP Enterprises, Inc","Industrials","Industrial Distribution","USA",2025.03,24.29,130.46,-0.37%,94879
315,"DYN","Dyne Therapeutics Inc","Healthcare","Biotechnology","USA",2957.29,,17.92,-0.78%,2445234
